ANO,IBGE7,NOME,TTREVA_EF_TOTAL,TTREVA_EM_TOTAL,TXMOINF,TXBRUTAMORT,TXCOBPLP,PINTERDRSAI,REN_PIBPC_D,REN_PVAAGR,REN_PVAIND,POP_TOT
2013,1100015,Alta Floresta D&apos;Oeste,3.40,9.20,18.32,4.35,12.55,11.12,11.10,34.16,6.27,25728
2013,1100023,Ariquemes,3.00,9.10,11.49,4.71,7.97,2.59,14.88,5.79,22.04,101269
2013,1100031,Cabixi,1.50,6.90,13.51,3.54,3.48,7.64,12.42,41.45,3.70,6495
2013,1100049,Cacoal,2.40,9.30,15.19,4.41,8.68,3.68,13.97,11.02,10.99,85863
2013,1100056,Cerejeiras,2.50,8.50,11.07,5.60,3.49,15.28,16.39,15.17,6.68,18041
2013,1100064,Colorado do Oeste,1.70,3.80,15.63,5.47,5.63,10.44,10.59,22.54,10.24,19190
2013,1100072,Corumbiara,3.50,8.60,8.62,2.77,1.83,3.45,15.62,52.30,5.23,9036
2013,1100080,Costa Marques,4.10,13.10,17.09,2.27,2.05,13.48,7.91,26.41,4.56,15853
2013,1100098,Espigão D&apos;Oeste,2.60,10.20,17.28,4.16,5.12,7.90,11.26,22.14,12.84,31699
2013,1100106,Guajará-Mirim,3.20,9.50,12.51,4.65,5.16,12.75,11.07,5.42,5.01,45761
2013,1100114,Jaru,2.60,9.60,14.22,4.08,5.32,4.13,16.11,12.85,17.37,55597
2013,1100122,Ji-Paraná,2.70,8.30,15.22,5.23,9.98,9.66,15.52,4.82,16.45,128026
2013,1100130,Machadinho D&apos;Oeste,4.30,10.90,13.62,3.54,2.25,8.13,9.32,23.41,11.73,35633
2013,1100148,Nova Brasilândia D&apos;Oeste,2.70,16.30,17.99,3.45,1.71,20.76,9.01,26.28,5.84,21427
2013,1100155,Ouro Preto do Oeste,2.00,8.60,15.65,4.76,7.66,11.65,11.61,17.85,9.08,40099
2013,1100189,Pimenta Bueno,2.30,13.60,20.65,4.85,8.21,7.66,17.12,9.08,21.14,36939
2013,1100205,Porto Velho,2.80,10.20,13.89,4.37,23.65,1.36,20.19,2.72,28.01,484992
2013,1100254,Presidente Médici,3.30,7.20,19.38,4.82,6.71,17.28,10.64,24.98,8.96,23017
2013,1100262,Rio Crespo,3.10,10.40,0.00,4.64,3.55,1.25,14.55,46.08,5.49,3666
2013,1100288,Rolim de Moura,2.60,11.10,11.38,4.61,5.93,13.51,14.00,8.26,22.10,55357
2013,1100296,Santa Luzia D&apos;Oeste,1.90,5.40,10.20,5.74,3.03,17.25,11.83,39.59,10.55,8887
2013,1100304,Vilhena,2.10,9.10,12.25,4.62,10.68,3.45,19.19,4.34,22.94,87727
2013,1100320,São Miguel do Guaporé,1.70,12.40,5.63,4.10,1.86,9.27,13.98,24.75,19.09,23668
2013,1100338,Nova Mamoré,3.30,8.90,19.23,4.42,1.01,6.36,9.84,33.96,7.58,26227
2013,1100346,Alvorada D&apos;Oeste,2.50,7.80,9.09,4.66,3.72,10.34,9.19,32.09,4.84,17399
2013,1100379,Alto Alegre dos Parecis,3.10,11.00,12.27,3.11,0.64,20.11,11.09,42.19,5.15,13827
2013,1100403,Alto Paraíso,3.60,17.70,4.74,2.93,2.57,15.92,9.21,21.28,12.68,19459
2013,1100452,Buritis,4.80,9.70,10.03,3.64,1.56,6.25,9.79,25.48,7.88,36555
2013,1100502,Novo Horizonte do Oeste,2.10,9.50,16.39,3.99,1.37,17.69,9.05,32.83,5.19,10515
2013,1100601,Cacaulândia,1.90,7.50,15.87,4.95,3.19,1.69,13.22,52.15,2.50,6268
2013,1100700,Campo Novo de Rondônia,5.90,16.70,5.46,2.44,0.62,15.93,10.89,41.86,10.97,13939
2013,1100809,Candeias do Jamari,3.30,10.60,22.22,5.62,3.35,2.08,10.21,16.68,21.53,22973
2013,1100908,Castanheiras,5.80,10.80,55.56,3.80,1.79,6.45,12.08,49.07,2.21,3689
2013,1100924,Chupinguaia,3.20,13.00,12.66,3.22,1.66,1.79,19.57,33.30,17.48,9636
2013,1100940,Cujubim,4.70,12.70,24.63,2.42,1.21,2.45,10.75,13.78,32.84,19410
2013,1101005,Governador Jorge Teixeira,3.60,11.90,25.86,3.89,1.06,7.07,11.13,50.40,2.29,10534
2013,1101104,Itapuã do Oeste,3.50,16.20,0.00,4.55,7.31,2.64,12.09,24.21,17.80,9661
2013,1101203,Ministro Andreazza,2.50,6.30,28.85,5.60,1.06,8.96,11.26,29.14,7.92,10899
2013,1101302,Mirante da Serra,1.70,6.20,16.39,4.33,2.26,29.69,9.03,25.67,6.29,12469
2013,1101401,Monte Negro,3.70,10.00,17.94,3.86,1.33,10.83,11.07,31.04,12.95,15541
2013,1101435,Nova União,2.10,6.20,36.59,2.54,1.24,20.29,9.21,41.82,2.59,7883
2013,1101450,Parecis,4.60,15.60,36.36,2.37,1.26,17.66,10.86,45.83,4.90,5477
2013,1101468,Pimenteiras do Oeste,3.00,12.80,0.00,3.28,1.15,22.54,26.64,60.96,4.54,2440
2013,1101476,Primavera de Rondônia,2.30,8.70,0.00,4.45,2.95,6.98,11.11,39.42,2.53,3597
