Cod IBGE,UF,Município,População Estimada - 2017
2700102,AL,ÁGUA BRANCA,20467
2700300,AL,ARAPIRACA,234185
2700706,AL,BATALHA,18757
2700904,AL,BELO MONTE,6797
2701209,AL,CACIMBINHAS,10897
2701605,AL,CANAPI,17983
2701803,AL,CARNEIROS,9155
2702009,AL,COITÉ DO NÓIA,10888
2702355,AL,CRAÍBAS,24510
2702405,AL,DELMIRO GOUVEIA,52597
2702504,AL,DOIS RIACHOS,11214
2702553,AL,ESTRELA DE ALAGOAS,18435
2702900,AL,GIRAU DO PONCIANO,41279
2703106,AL,IGACI,26022
2703304,AL,INHAPI,18652
2703403,AL,JACARÉ DOS HOMENS,5356
2703700,AL,JARAMATAIA,5676
2704104,AL,LAGOA DA CANOA,18175
2704401,AL,MAJOR ISIDORO,20200
2704609,AL,MARAVILHA,9418
2705002,AL,MATA GRANDE,25589
2705309,AL,MINADOR DO NEGRÃO,5413
2705408,AL,MONTEIRÓPOLIS,7260
2705705,AL,OLHO D'ÁGUA DAS FLORES,21767
2705804,AL,OLHO D'ÁGUA DO CASADO,9459
2706000,AL,OLIVENÇA,11772
2706109,AL,OURO BRANCO,11635
2706208,AL,PALESTINA,5066
2706307,AL,PALMEIRA DOS ÍNDIOS,74208
2706406,AL,PÃO DE AÇÚCAR,24792
2706422,AL,PARICONHA,10684
2707107,AL,PIRANHAS,25298
2707206,AL,POÇO DAS TRINCHEIRAS,14575
2707602,AL,QUEBRANGULO,11496
2708006,AL,SANTANA DO IPANEMA,48232
2708402,AL,SÃO JOSÉ DA TAPERA,32626
2708956,AL,SENADOR RUI PALMEIRA,14036
2709202,AL,TRAIPU,28070
2900108,BA,ABAÍRA,9199
2900207,BA,ABARÉ,20189
2900355,BA,ADUSTINA,17349
2900405,BA,ÁGUA FRIA,17508
2901007,BA,AMARGOSA,38259
2901155,BA,AMÉRICA DOURADA,16798
2901205,BA,ANAGÉ,19568
2901304,BA,ANDARAÍ,13737
2901353,BA,ANDORINHA,15490
2901403,BA,ANGICAL,14690
2901502,BA,ANGUERA,11481
2901601,BA,ANTAS,19569
2901700,BA,ANTÔNIO CARDOSO,12208
2901809,BA,ANTÔNIO GONÇALVES,12072
2902005,BA,ARACATU,13962
2902104,BA,ARACI,55935
2902500,BA,BAIANÓPOLIS,14323
2902609,BA,BAIXA GRANDE,21403
2902658,BA,BANZAÊ,13765
2902708,BA,BARRA,54915
2902807,BA,BARRA DA ESTIVA,22082
2902906,BA,BARRA DO CHOÇA,34121
2903003,BA,BARRA DO MENDES,14560
2903201,BA,BARREIRAS,157638
2903235,BA,BARRO ALTO,15217
2903276,BA,BARROCAS,16296
2903508,BA,BELO CAMPO,18247
2903607,BA,BIRITINGA,16653
2903706,BA,BOA NOVA,14069
2903805,BA,BOA VISTA DO TUPIM,19502
2903904,BA,BOM JESUS DA LAPA,70618
2903953,BA,BOM JESUS DA SERRA,10477
2904001,BA,BONINAL,14760
2904050,BA,BONITO,17131
2904100,BA,BOQUIRA,22464
2904209,BA,BOTUPORÃ,10898
2904308,BA,BREJÕES,15122
2904407,BA,BREJOLÂNDIA,10833
