Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Brasil;...;-;1648928;220721;460126;58540;117845;590847;1874686;1478884;395802;...;424912;76843;37189;2714611;37641;10762;17;1943;45832;1197450;78314;87113;27594;21284279;4650;41346;41141725;1049514;54776;3167615;36997;62;12276;76101
Água Doce do Maranhão (MA);...;-;-;-;8;-;-;-;-;-;-;...;130;-;-;34;-;-;-;-;-;315;-;-;-;469;-;-;-;-;-;-;-;-;-;-
Araioses (MA);...;-;-;-;15;-;-;-;-;-;-;...;312;-;-;237;-;-;-;-;-;970;-;-;-;178;-;-;-;-;-;-;-;-;-;-
Barão de Grajaú (MA);...;-;-;-;9;-;-;-;-;-;-;...;130;-;29;216;-;-;-;-;-;43;-;9;-;377;-;-;-;-;-;-;-;-;-;-
Brejo (MA);...;-;-;-;-;-;-;-;-;-;-;...;22;-;-;120;-;-;-;-;-;490;-;-;-;950;-;-;16150;-;-;-;-;-;-;-
Buriti (MA);...;-;-;-;4;-;-;-;-;-;-;...;9;-;-;193;-;-;-;-;-;430;-;-;-;930;-;-;13700;-;-;-;-;-;-;-
Caxias (MA);...;-;-;-;5;-;-;-;-;-;-;...;10;-;-;620;-;-;-;-;-;240;-;40;-;2960;-;-;8048;-;-;-;-;-;-;-
Magalhães de Almeida (MA);...;-;-;-;31;-;-;-;-;-;-;...;102;-;-;360;-;-;-;-;-;401;-;-;-;740;-;-;4200;-;-;-;-;-;-;-
Matões (MA);...;-;-;-;2;-;-;-;-;-;-;...;180;-;-;780;-;-;-;-;-;660;-;-;-;3300;-;-;6000;-;-;-;-;-;-;-
Milagres do Maranhão (MA);...;-;-;-;8;-;-;-;-;-;-;...;20;-;-;165;-;-;-;-;-;270;-;-;-;255;-;-;4920;-;-;-;-;-;-;-
Parnarama (MA);...;-;-;-;2;-;-;-;-;-;-;...;45;-;-;710;-;-;-;-;-;500;-;-;-;4500;-;-;12000;-;-;-;-;-;-;-
Santa Quitéria do Maranhão (MA);...;-;-;-;-;-;-;-;-;-;-;...;62;-;-;600;-;-;-;-;-;400;-;-;-;1000;-;-;3930;-;-;-;-;-;-;-
Santana do Maranhão (MA);...;-;-;-;2;-;-;-;-;-;-;...;48;-;-;293;-;-;-;-;-;280;-;-;-;312;-;-;-;-;-;-;-;-;-;-
São Bernardo (MA);...;-;-;-;5;-;-;-;-;-;-;...;116;-;-;355;-;-;-;-;-;393;-;-;-;1315;-;-;1860;-;-;-;-;-;-;-
São Francisco do Maranhão (MA);...;-;-;-;2;-;-;-;-;-;-;...;19;-;23;212;-;-;-;-;-;19;-;8;-;360;-;-;700;-;-;-;-;-;-;-
Timon (MA);...;-;-;-;40;-;-;-;-;-;-;...;800;-;-;1030;-;-;-;-;-;350;-;-;-;1200;-;-;-;-;-;-;-;-;-;-
Tutóia (MA);...;-;-;-;9;-;-;-;-;-;-;...;115;-;-;458;-;-;-;-;-;870;-;-;-;608;-;-;-;-;-;-;-;-;-;-
Acauã (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;920;-;-;-;-;-;7;-;-;-;1505;-;-;-;-;-;-;-;-;-;-
Agricolândia (PI);...;-;-;-;-;-;-;-;-;-;-;...;70;-;10;90;-;-;-;-;-;10;-;-;-;405;-;-;500;-;-;-;-;-;-;-
Água Branca (PI);...;-;-;-;-;-;-;-;-;-;-;...;26;-;15;90;-;-;-;-;-;20;-;15;-;300;-;-;-;-;10;-;-;-;-;-
Alagoinha do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;905;-;-;4000;-;-;-;-;-;40;-;-;-;2500;-;-;-;-;-;-;-;-;-;-
Alegrete do Piauí (PI);...;-;15;-;-;-;-;-;-;-;-;...;8;-;10;500;-;-;-;-;-;-;-;50;-;2500;-;-;-;-;-;-;-;-;-;-
Alto Longá (PI);...;-;-;-;-;-;-;-;-;-;-;...;345;-;-;1000;-;-;-;-;-;145;-;70;-;1146;-;-;-;-;-;-;-;-;-;-
Altos (PI);...;-;-;-;1;-;-;-;-;-;-;...;43;-;10;696;-;-;-;-;-;100;21;117;-;529;-;-;-;-;-;-;-;-;-;-
Alvorada do Gurguéia (PI);...;-;-;-;70;-;-;-;-;-;-;...;10;-;-;104;-;-;-;-;-;80;-;40;-;1360;-;-;2330;250;-;-;-;-;-;-
Amarante (PI);...;-;-;-;30;-;-;-;-;-;-;...;530;-;25;730;-;-;-;-;-;359;23;-;-;1900;-;-;-;-;-;-;-;-;-;-
Angical do Piauí (PI);...;-;-;-;27;-;-;-;-;-;-;...;78;-;26;75;-;-;-;-;-;60;-;-;-;480;-;-;-;-;-;-;-;-;-;-
Anísio de Abreu (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;-;629;-;-;-;-;-;45;-;-;-;3005;-;-;-;-;-;-;-;-;-;-
Aroazes (PI);...;-;-;-;10;-;-;-;-;-;-;...;40;-;5;60;-;-;-;-;-;10;-;5;-;500;-;-;-;-;-;-;-;-;-;-
Aroeiras do Itaim (PI);...;-;-;-;-;-;-;-;-;-;-;...;13;-;-;300;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;-;-;-;-;-
Arraial (PI);...;-;-;-;-;-;-;-;-;-;-;...;63;-;-;176;-;-;-;-;-;10;-;-;-;610;-;-;-;-;-;-;-;-;-;-
Assunção do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;28;-;-;2570;-;-;-;-;-;20;-;-;-;2106;-;-;-;-;-;-;-;-;-;-
