Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Brasil;...;-;3895;3849;14968;14548;33020;464;1694;1417;2730;...;346;8421;339;1090;1630;237;1400;1482;564;14938;19817;22313;25468;5201;1322;3107;2951;2802;69905;3266;3453;4016;992;19396
Água Doce do Maranhão (MA);...;-;-;-;6125;-;-;-;-;-;-;...;392;-;-;471;-;-;-;-;-;7949;-;-;-;917;-;-;-;-;-;-;-;-;-;-
Araioses (MA);...;-;-;-;5800;-;-;-;-;-;-;...;381;-;-;468;-;-;-;-;-;7682;-;-;-;927;-;-;-;-;-;-;-;-;-;-
Barão de Grajaú (MA);...;-;-;-;9778;-;-;-;-;-;-;...;292;-;276;426;-;-;-;-;-;9674;-;12778;-;1565;-;-;-;-;-;-;-;-;-;-
Brejo (MA);...;-;-;-;-;-;-;-;-;-;-;...;364;-;-;508;-;-;-;-;-;7341;-;-;-;1579;-;-;3000;-;-;-;-;-;-;-
Buriti (MA);...;-;-;-;5750;-;-;-;-;-;-;...;333;-;-;503;-;-;-;-;-;7702;-;-;-;1505;-;-;2980;-;-;-;-;-;-;-
Caxias (MA);...;-;-;-;5000;-;-;-;-;-;-;...;500;-;-;300;-;-;-;-;-;5000;-;700;-;1479;-;-;3125;-;-;-;-;-;-;-
Magalhães de Almeida (MA);...;-;-;-;4903;-;-;-;-;-;-;...;392;-;-;472;-;-;-;-;-;11541;-;-;-;2074;-;-;2950;-;-;-;-;-;-;-
Matões (MA);...;-;-;-;7500;-;-;-;-;-;-;...;222;-;-;436;-;-;-;-;-;12045;-;-;-;1545;-;-;3300;-;-;-;-;-;-;-
Milagres do Maranhão (MA);...;-;-;-;8875;-;-;-;-;-;-;...;350;-;-;576;-;-;-;-;-;6700;-;-;-;722;-;-;2950;-;-;-;-;-;-;-
Parnarama (MA);...;-;-;-;1500;-;-;-;-;-;-;...;622;-;-;479;-;-;-;-;-;9582;-;-;-;1444;-;-;3167;-;-;-;-;-;-;-
Santa Quitéria do Maranhão (MA);...;-;-;-;-;-;-;-;-;-;-;...;382;-;-;419;-;-;-;-;-;8038;-;-;-;1864;-;-;3020;-;-;-;-;-;-;-
Santana do Maranhão (MA);...;-;-;-;7000;-;-;-;-;-;-;...;396;-;-;416;-;-;-;-;-;6650;-;-;-;785;-;-;-;-;-;-;-;-;-;-
São Bernardo (MA);...;-;-;-;7000;-;-;-;-;-;-;...;356;-;-;560;-;-;-;-;-;8000;-;-;-;2060;-;-;2903;-;-;-;-;-;-;-
São Francisco do Maranhão (MA);...;-;-;-;9000;-;-;-;-;-;-;...;263;-;217;429;-;-;-;-;-;8895;-;9375;-;3600;-;-;3000;-;-;-;-;-;-;-
Timon (MA);...;-;-;-;25000;-;-;-;-;-;-;...;500;-;-;471;-;-;-;-;-;13200;-;-;-;917;-;-;-;-;-;-;-;-;-;-
Tutóia (MA);...;-;-;-;5333;-;-;-;-;-;-;...;391;-;-;496;-;-;-;-;-;7845;-;-;-;914;-;-;-;-;-;-;-;-;-;-
Acauã (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;297;-;-;-;-;-;10000;-;-;-;396;-;-;-;-;-;-;-;-;-;-
Agricolândia (PI);...;-;-;-;-;-;-;-;-;-;-;...;200;-;200;400;-;-;-;-;-;5000;-;-;-;4388;-;-;4320;-;-;-;-;-;-;-
Água Branca (PI);...;-;-;-;-;-;-;-;-;-;-;...;346;-;200;444;-;-;-;-;-;8000;-;15000;-;1277;-;-;-;-;15000;-;-;-;-;-
Alagoinha do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;225;-;-;420;-;-;-;-;-;12000;-;-;-;300;-;-;-;-;-;-;-;-;-;-
Alegrete do Piauí (PI);...;-;600;-;-;-;-;-;-;-;-;...;250;-;300;540;-;-;-;-;-;-;-;12000;-;1440;-;-;-;-;-;-;-;-;-;-
Alto Longá (PI);...;-;-;-;-;-;-;-;-;-;-;...;125;-;-;302;-;-;-;-;-;9331;-;24000;-;760;-;-;-;-;-;-;-;-;-;-
Altos (PI);...;-;-;-;14000;-;-;-;-;-;-;...;395;-;400;440;-;-;-;-;-;10440;9429;25000;-;1043;-;-;-;-;-;-;-;-;-;-
Alvorada do Gurguéia (PI);...;-;-;-;12000;-;-;-;-;-;-;...;400;-;-;856;-;-;-;-;-;12000;-;25000;-;8043;-;-;3035;1500;-;-;-;-;-;-
Amarante (PI);...;-;-;-;11767;-;-;-;-;-;-;...;338;-;417;395;-;-;-;-;-;10816;9000;-;-;792;-;-;-;-;-;-;-;-;-;-
Angical do Piauí (PI);...;-;-;-;14000;-;-;-;-;-;-;...;244;-;462;653;-;-;-;-;-;10000;-;-;-;2000;-;-;-;-;-;-;-;-;-;-
Anísio de Abreu (PI);...;-;-;-;-;-;-;-;-;-;-;...;267;-;-;173;-;-;-;-;-;10000;-;-;-;576;-;-;-;-;-;-;-;-;-;-
Aroazes (PI);...;-;-;-;10000;-;-;-;-;-;-;...;250;-;400;83;-;-;-;-;-;12000;-;25000;-;480;-;-;-;-;-;-;-;-;-;-
Aroeiras do Itaim (PI);...;-;-;-;-;-;-;-;-;-;-;...;231;-;-;360;-;-;-;-;-;-;-;-;-;240;-;-;-;-;-;-;-;-;-;-
Arraial (PI);...;-;-;-;-;-;-;-;-;-;-;...;333;-;-;500;-;-;-;-;-;9000;-;-;-;1533;-;-;-;-;-;-;-;-;-;-
Assunção do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;214;-;-;174;-;-;-;-;-;9000;-;-;-;419;-;-;-;-;-;-;-;-;-;-
Avelino Lopes (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;125;-;-;-;-;-;2686;-;-;-;300;-;-;-;-;-;-;-;-;-;-
Barra D'Alcântara (PI);...;-;-;-;-;-;-;-;-;-;-;...;176;-;360;190;-;-;-;-;-;8000;-;20000;-;939;-;-;-;-;-;-;-;-;-;-
Barras (PI);...;-;-;-;13500;-;-;-;-;-;-;...;240;-;250;383;-;-;-;-;-;10000;9000;30000;-;809;-;-;-;-;-;-;-;-;-;-
Barreiras do Piauí (PI);...;-;4200;-;-;-;-;-;-;-;-;...;200;-;320;312;-;-;-;-;-;14000;-;-;-;5088;-;-;3450;2100;-;-;-;-;-;-
Barro Duro (PI);...;-;-;-;12570;-;-;-;-;-;-;...;292;-;208;553;-;-;-;-;-;11000;-;20000;-;1240;-;-;-;-;-;-;-;-;-;-
Batalha (PI);...;-;-;-;13800;-;-;-;-;-;-;...;381;-;-;306;-;-;-;-;-;11000;9000;20000;-;739;-;-;-;-;-;-;-;-;-;-
Bela Vista do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;120;-;-;-;-;-;10400;-;-;-;420;-;-;-;-;-;-;-;-;-;-
Belém do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;323;-;-;198;-;-;-;-;-;9667;-;-;-;198;-;-;-;-;-;-;-;-;-;-
Beneditinos (PI);...;-;-;-;-;-;-;-;-;-;-;...;327;-;-;334;-;-;-;-;-;10000;-;25000;-;1000;-;-;-;-;-;-;-;-;-;-
Bertolínia (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;600;522;-;-;-;-;-;10000;-;-;-;1354;-;-;-;-;-;-;-;-;-;-
Betânia do Piauí (PI);...;-;233;-;-;-;-;-;-;-;-;...;-;-;-;60;-;-;-;-;-;10000;-;-;-;396;-;-;-;-;-;-;-;-;-;-
Boa Hora (PI);...;-;-;-;-;-;-;-;-;-;-;...;400;-;-;333;-;-;-;-;-;10000;-;-;-;694;-;-;3120;-;-;-;-;-;-;-
Bocaina (PI);...;-;-;-;12000;8000;-;-;-;-;-;...;150;-;-;540;-;-;-;-;-;14000;8000;-;-;392;-;-;-;-;18000;-;-;-;-;-
Bom Jesus (PI);...;-;-;-;10000;-;-;-;-;-;-;...;400;-;600;882;-;-;-;-;-;10000;7000;18000;-;8886;-;-;3524;2400;-;-;-;-;-;-
Bom Princípio do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;400;-;-;280;-;-;-;-;-;10024;10000;-;-;700;-;-;-;-;-;-;-;-;-;-
Bonfim do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;104;-;-;-;-;-;7140;-;-;-;231;-;-;-;-;-;-;-;-;-;-
Boqueirão do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;301;-;-;154;-;-;-;-;-;9600;-;-;-;241;-;-;-;-;-;-;-;-;-;-
Brasileira (PI);...;-;-;-;-;-;-;-;-;-;-;...;320;-;-;212;-;-;-;-;-;6238;-;22222;-;730;-;-;-;-;-;-;-;-;-;-
Brejo do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;500;-;-;159;-;-;-;-;-;10000;-;8750;-;288;-;-;-;-;-;-;-;-;-;-
Buriti dos Lopes (PI);...;-;-;-;-;-;-;-;-;-;-;...;395;-;-;372;-;-;-;-;-;12130;-;-;-;700;-;-;-;-;-;-;-;-;-;-
Buriti dos Montes (PI);...;-;-;-;-;-;-;-;-;-;-;...;222;-;-;236;-;-;-;-;-;10000;-;-;-;634;-;-;-;-;-;-;-;-;-;-
Cabeceiras do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;393;-;-;385;-;-;-;-;-;10000;-;20000;-;800;-;-;-;-;-;-;-;-;-;-
Cajazeiras do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;304;-;-;-;-;-;10500;-;-;-;578;-;-;-;-;-;-;-;-;-;-
Caldeirão Grande do Piauí (PI);...;-;667;-;-;-;-;-;-;-;-;...;-;-;680;891;-;-;-;-;-;13200;-;-;-;2178;-;-;-;-;-;-;-;-;-;-
