Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Brasil;...;-;33134873;2584944;11918249;1413645;6728524;3486143;51813884;39470662;12343222;...;588963;846541;90396;12374460;152098;45779;78;8730;77155;15298408;2074489;1882802;877273;137743946;71728;1554720;345422469;2910545;8656263;15696828;165207;324;96653;4536903
Água Doce do Maranhão (MA);...;-;-;-;50;-;-;-;-;-;-;...;149;-;-;62;-;-;-;-;-;2053;-;-;-;366;-;-;-;-;-;-;-;-;-;-
Araioses (MA);...;-;-;-;110;-;-;-;-;-;-;...;476;-;-;428;-;-;-;-;-;5216;-;-;-;215;-;-;-;-;-;-;-;-;-;-
Barão de Grajaú (MA);...;-;-;-;110;-;-;-;-;-;-;...;91;-;64;373;-;-;-;-;-;167;-;78;-;786;-;-;-;-;-;-;-;-;-;-
Brejo (MA);...;-;-;-;-;-;-;-;-;-;-;...;21;-;-;81;-;-;-;-;-;1870;-;-;-;1035;-;-;78974;-;-;-;-;-;-;-
Buriti (MA);...;-;-;-;17;-;-;-;-;-;-;...;8;-;-;133;-;-;-;-;-;1716;-;-;-;973;-;-;66955;-;-;-;-;-;-;-
Caxias (MA);...;-;-;-;21;-;-;-;-;-;-;...;18;-;-;785;-;-;-;-;-;420;-;21;-;4290;-;-;74193;-;-;-;-;-;-;-
Magalhães de Almeida (MA);...;-;-;-;152;-;-;-;-;-;-;...;160;-;-;680;-;-;-;-;-;3175;-;-;-;2149;-;-;24780;-;-;-;-;-;-;-
Matões (MA);...;-;-;-;38;-;-;-;-;-;-;...;88;-;-;1470;-;-;-;-;-;7314;-;-;-;6120;-;-;55440;-;-;-;-;-;-;-
Milagres do Maranhão (MA);...;-;-;-;55;-;-;-;-;-;-;...;16;-;-;126;-;-;-;-;-;932;-;-;-;127;-;-;23585;-;-;-;-;-;-;-
Parnarama (MA);...;-;-;-;5;-;-;-;-;-;-;...;84;-;-;1231;-;-;-;-;-;1916;-;-;-;7800;-;-;106400;-;-;-;-;-;-;-
Santa Quitéria do Maranhão (MA);...;-;-;-;-;-;-;-;-;-;-;...;53;-;-;767;-;-;-;-;-;2154;-;-;-;2639;-;-;29673;-;-;-;-;-;-;-
Santana do Maranhão (MA);...;-;-;-;27;-;-;-;-;-;-;...;76;-;-;488;-;-;-;-;-;1583;-;-;-;392;-;-;-;-;-;-;-;-;-;-
São Bernardo (MA);...;-;-;-;33;-;-;-;-;-;-;...;96;-;-;472;-;-;-;-;-;2028;-;-;-;3793;-;-;15298;-;-;-;-;-;-;-
