codigo_ibge,nome,codigo_uf,nome_porto,transportation_cost
2300101,Abaiara,23,suape,26769.1674373917
2300101,Abaiara,23,aratu,26247.3866505564
2300101,Abaiara,23,natal,27553.4067552846
2900108,Abaíra,29,suape,25204.1707901662
2900108,Abaíra,29,aratu,24126.5907924573
2900108,Abaíra,29,natal,26060.5886749436
2900207,Abaré,29,suape,26122.7653122784
2900207,Abaré,29,aratu,25514.7593126509
2900207,Abaré,29,natal,26920.1801582279
2300150,Acarape,23,suape,28214.5953596714
2300150,Acarape,23,aratu,27888.8368009925
2300150,Acarape,23,natal,28967.0633934758
2300200,Acaraú,23,suape,29498.2596184224
2300200,Acaraú,23,aratu,29138.730280398
2300200,Acaraú,23,natal,30253.9365038409
2400109,Acari,24,suape,26204.4006938143
2400109,Acari,24,aratu,25918.0932280603
2400109,Acari,24,natal,26954.254955387
2200053,Acauã,22,suape,27256.1556786842
2200053,Acauã,22,aratu,26536.299994185
2200053,Acauã,22,natal,28066.9298478026
2300309,Acopiara,23,suape,27576.8891638158
2300309,Acopiara,23,aratu,27096.1013495543
2300309,Acopiara,23,natal,28353.8772219941
2400208,Açu,24,suape,26759.6867974444
2400208,Açu,24,aratu,26497.4730232698
2400208,Açu,24,natal,27504.6948016096
2900355,Adustina,29,suape,24783.7191017869
2900355,Adustina,29,aratu,24138.7553179959
2900355,Adustina,29,natal,25588.3922547338
2600104,Afogados da Ingazeira,26,suape,25954.8874851723
2600104,Afogados da Ingazeira,26,aratu,25516.7506230704
2600104,Afogados da Ingazeira,26,natal,26728.3399383202
2400307,Afonso Bezerra,24,suape,26639.8159094037
2400307,Afonso Bezerra,24,aratu,26414.1899394268
2400307,Afonso Bezerra,24,natal,27379.1962295325
2600203,Afrânio,26,suape,27082.1313251636
2600203,Afrânio,26,aratu,26350.1447269182
2600203,Afrânio,26,natal,27894.7487048852
2600302,Agrestina,26,suape,24868.4158538229
2600302,Agrestina,26,aratu,24521.5390346482
2600302,Agrestina,26,natal,25630.2332469338
2200202,Água Branca,22,suape,29092.9298992027
2200202,Água Branca,22,aratu,28399.5708128188
2200202,Água Branca,22,natal,29897.6542826097
2500106,Água Branca,25,suape,26074.0042513624
2500106,Água Branca,25,aratu,25648.8697609068
2500106,Água Branca,25,natal,26845.3166892332
2700102,Água Branca,27,suape,25331.5581838245
2700102,Água Branca,27,aratu,24779.5974289222
2700102,Água Branca,27,natal,26122.5126447751
2900405,Água Fria,29,suape,24455.5375431137
2900405,Água Fria,29,aratu,23675.8582901051
2900405,Água Fria,29,natal,25278.2608433331
2400406,Água Nova,24,suape,27021.1420350889
2400406,Água Nova,24,aratu,26619.6087980318
2400406,Água Nova,24,natal,27787.26264629
2600500,Águas Belas,26,suape,25047.1695587933
2600500,Águas Belas,26,aratu,24567.5837138209
2600500,Águas Belas,26,natal,25828.3292663848
3101003,Águas Vermelhas,31,suape,24028.5911910593
3101003,Águas Vermelhas,31,aratu,22790.4221471283
3101003,Águas Vermelhas,31,natal,24902.7575331198
2500205,Aguiar,25,suape,26516.0180566614
2500205,Aguiar,25,aratu,26074.2096931576
2500205,Aguiar,25,natal,27289.0268863064
2300408,Aiuaba,23,suape,27629.2309376886
2300408,Aiuaba,23,aratu,27072.9663926446
2300408,Aiuaba,23,natal,28417.0331718815
2500304,Alagoa Grande,25,suape,25465.536033986
2500304,Alagoa Grande,25,aratu,25226.2022106255
2500304,Alagoa Grande,25,natal,26209.4081200741
2500403,Alagoa Nova,25,suape,25515.3812662699
2500403,Alagoa Nova,25,aratu,25264.0636860238
2500403,Alagoa Nova,25,natal,26261.0567940658
2500502,Alagoinha,25,suape,25477.9326095325
2500502,Alagoinha,25,aratu,25250.8394222776
2500502,Alagoinha,25,natal,26219.826462
2600609,Alagoinha,26,suape,25221.7471454089
2600609,Alagoinha,26,aratu,24807.7872261674
2600609,Alagoinha,26,natal,25992.9662358665
2200251,Alagoinha do Piauí,22,suape,27778.4612417766
2200251,Alagoinha do Piauí,22,aratu,27140.2175879723
2200251,Alagoinha do Piauí,22,natal,28577.4958523314
2300507,Alcântaras,23,suape,29322.1877504467
2300507,Alcântaras,23,aratu,28896.4961302235
2300507,Alcântaras,23,natal,30088.2694982599
2500536,Alcantil,25,suape,25283.9852939164
2500536,Alcantil,25,aratu,24970.5173423491
2500536,Alcantil,25,natal,26039.8517523845
2200277,Alegrete do Piauí,22,suape,27627.983124905
2200277,Alegrete do Piauí,22,aratu,26980.9594705514
2200277,Alegrete do Piauí,22,natal,28428.4394835605
2400505,Alexandria,24,suape,26798.5596110124
2400505,Alexandria,24,aratu,26406.9950908608
2400505,Alexandria,24,natal,27563.5589886036
2500577,Algodão de Jandaíra,25,suape,25704.3219626759
2500577,Algodão de Jandaíra,25,aratu,25441.5882335512
2500577,Algodão de Jandaíra,25,natal,26451.4288756504
3101706,Almenara,31,suape,23465.440892276
3101706,Almenara,31,aratu,22245.9174934048
3101706,Almenara,31,natal,24338.485484129
2400604,Almino Afonso,24,suape,26823.9187334747
2400604,Almino Afonso,24,aratu,26465.6731472594
2400604,Almino Afonso,24,natal,27583.8002439482
2300606,Altaneira,23,suape,27248.0145497824
2300606,Altaneira,23,aratu,26695.191483292
2300606,Altaneira,23,natal,28035.918426181
2600807,Altinho,26,suape,24906.4766967999
2600807,Altinho,26,aratu,24548.4561987396
2600807,Altinho,26,natal,25669.9112779361
2400703,Alto do Rodrigues,24,suape,26849.7606593638
2400703,Alto do Rodrigues,24,aratu,26616.3910659879
2400703,Alto do Rodrigues,24,natal,27589.9915593787
2200301,Alto Longá,22,suape,29210.5457995072
2200301,Alto Longá,22,aratu,28580.8221880726
